nci_id,nct_id,protocol_id,ccr_id,ctep_id,dcp_id,other_ids__name,other_ids__value,associated_studies__study_id,associated_studies__study_id_type,outcome_measures__name,outcome_measures__description,outcome_measures__timeframe,outcome_measures__type_code,amendment_date,current_trial_status,current_trial_status_date,start_date,start_date_type_code,completion_date,completion_date_type_code,record_verification_date,brief_title,official_title,acronym,keywords,brief_summary,detail_description,classification_code,interventional_model,study_source,accepts_healthy_volunteers_indicator,study_protocol_type,study_subtype_code,study_population_description,study_model_code,study_model_other_text,sampling_method_code,bio_specimen__f1,bio_specimen__f2,bio_specimen__f3,bio_specimen__f4,primary_purpose__primary_purpose_code,primary_purpose__primary_purpose_other_text,primary_purpose__primary_purpose_additional_qualifier_code,phase__phase,phase__phase_other_text,phase__phase_additional_qualifier_code,masking__masking,masking__masking_allocation_code,masking__masking_role_investigator,masking__masking_role_outcome_assessor,masking__masking_role_subject,masking__masking_role_caregiver,principal_investigator,central_contact__central_contact_email,central_contact__central_contact_name,central_contact__central_contact_phone,central_contact__central_contact_type,lead_org,collaborators__name,collaborators__functional_role,sites__contact_email,sites__contact_name,sites__contact_phone,sites__recruitment_status,sites__recruitment_status_date,sites__local_site_identifier,sites__org_address_line_1,sites__org_address_line_2,sites__org_city,sites__org_country,sites__org_email,sites__org_family,sites__org_fax,sites__org_name,sites__org_to_family_relationship,sites__org_phone,sites__org_postal_code,sites__org_state_or_province,sites__org_status,sites__org_status_date,sites__org_tty,sites__org_va,sites__org_coordinates__lat,sites__org_coordinates__lon,anatomic_sites__-,diseases__inclusion_indicator,diseases__lead_disease_indicator,diseases__nci_thesaurus_concept_id,diseases__preferred_name,diseases__display_name,diseases__paths__direction,diseases__paths__concepts__idx,diseases__paths__concepts__label,diseases__paths__concepts__code,diseases__type__001,diseases__type__002,diseases__synonyms__-,diseases__synonyms,diseases__parents__001,diseases__parents__002,diseases__parents__003,biomarkers,minimum_target_accrual_number,eligibility__structured__gender,eligibility__structured__max_age,eligibility__structured__max_age_number,eligibility__structured__max_age_unit,eligibility__structured__min_age,eligibility__structured__min_age_number,eligibility__structured__min_age_unit,eligibility__structured__max_age_in_years,eligibility__structured__min_age_in_years,eligibility__unstructured__display_order,eligibility__unstructured__inclusion_indicator,eligibility__unstructured__description,number_of_arms,arms__arm_name,arms__arm_type,arms__arm_description,arms__interventions__intervention_name,arms__interventions__intervention_type,arms__interventions__intervention_code,arms__interventions__intervention_description,arms__interventions__parents__001,arms__interventions__parents__002,arms__interventions__parents__003,arms__interventions__inclusion_indicator,arms__interventions__synonyms__-,arms__interventions__synonyms,arms__interventions__intervention_category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,601 Children's Lane,null,Norfolk,United States,CCBDCresearch@chkd.org,null,null,Children's Hospital of The King's Daughters,null,757-668-7243,23507,VA,ACTIVE,6/18/18,null,FALSE,36.8688,-76.3092,,,,,,,,,,,,,,Malignant Neoplasm of Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irradiate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ctsucontact@westat.com,Site Public Contact,888-823-5923,CLOSED_TO_ACCRUAL,8/28/13,,1717 South Orange Avenue,null,Orlando,United States,null,null,null,Nemours Children's Clinic - Orlando,null,407-650-7150,32806,FL,ACTIVE,6/24/14,null,FALSE,28.5125,-81.3614,,,,,,,,,,,,,,Malignant Neoplasm of the CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irradiated,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jason.mcguire@sickkids.ca,Site Public Contact,416-813-7654ext2027,CLOSED_TO_ACCRUAL,9/7/18,,555 University Avenue,null,Toronto,Canada,jason.mcguire@sickkids.ca,null,null,Hospital for Sick Children,null,416-813-1500,M5G 1X8,Ontario,ACTIVE,11/29/12,null,FALSE,,,,,,,,,,,,,,,,Malignant Neoplasm of the Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irradiation,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,800-248-1199,CLOSED_TO_ACCRUAL,9/7/18,,702 Barnhill Drive,null,Indianapolis,United States,null,Indiana University Melvin and Bren Simon Cancer Center,null,Riley Hospital for Children,ORGANIZATIONAL,800-248-1199,46202,IN,ACTIVE,2/5/18,null,FALSE,39.7837,-86.163,,,,,,,,,,,,,,Malignant Tumor of CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HemonCCTrials@geisinger.edu,Site Public Contact,570-271-5251,CLOSED_TO_ACCRUAL,9/7/18,,100 North Academy Avenue,null,Danville,United States,HemonCCTrials@geisinger.edu,null,null,Geisinger Medical Center,null,570-271-5251,17822,PA,ACTIVE,1/10/18,null,FALSE,40.9634,-76.6134,,,,,,,,,,,,,,Malignant Tumor of Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiation,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,703 Main Street,null,Paterson,United States,HallL@sjhmc.org,null,null,Saint Joseph's Regional Medical Center,null,973-754-2909,7503,NJ,ACTIVE,2/27/19,null,FALSE,40.8977,-74.1545,,,,,,,,,,,,,,Malignant Tumor of the CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapeutics,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,518-262-5513,CLOSED_TO_ACCRUAL,9/7/18,,43 New Scotland Avenue,null,Albany,United States,null,null,null,Albany Medical Center,null,518-262-3368,12208,NY,ACTIVE,7/28/15,null,FALSE,42.6512,-73.8071,,,,,,,,,,,,,,Malignant Tumor of the Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Radiotherapy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,420 Delaware Street Southeast,null,Minneapolis,United States,null,Masonic Cancer Center,null,University of Minnesota / Masonic Cancer Center,ORGANIZATIONAL,612-624-2620,55455,MN,ACTIVE,12/30/15,null,FALSE,44.974,-93.2319,,TREE,NO,C9293,Central Nervous System Neoplasm,Brain/Spinal Cord Tumor,,,,,maintype,subtype,,CNS Neoplasm,C2934,C3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Therapy, Radiation",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,1500 East Medical Center Drive,null,Ann Arbor,United States,null,University of Michigan Comprehensive Cancer Center,null,C S Mott Children's Hospital,ORGANIZATIONAL,800-865-1125,48109,MI,ACTIVE,12/30/08,null,FALSE,42.2909,-83.7144,,,,,,,,,,,,,,CNS Tumor,,,,,,,,,,,,,,,,,,,,,,Vincristine Sulfate,Drug,C1739,"The sulfate salt of a natural alkaloid isolated from the plant Vinca rosea Linn with antimitotic and antineoplastic activities. Vincristine binds irreversibly to microtubules and spindle proteins in S phase of the cell cycle and interferes with the formation of the mitotic spindle, thereby arresting tumor cells in metaphase. This agent also depolymerizes microtubules and may also interfere with amino acid, cyclic AMP, and glutathione metabolism; calmodulin-dependent Ca++ -transport ATPase activity; cellular respiration; and nucleic acid and lipid biosynthesis. Check for active clinical trials or closed clinical trials using this agent. (NCI Thesaurus)Health professional",C932,C67422,,TRIAL,,Kyocristine,Agent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayter1@memorialhealth.com,Site Public Contact,912-350-7887,CLOSED_TO_ACCRUAL,9/7/18,,4700 Waters Avenue,null,Savannah,United States,clayter1@memorialhealth.com,null,null,Memorial Health University Medical Center,null,912-350-8568,31404,GA,ACTIVE,3/30/18,null,FALSE,32.0515,-81.0542,,,,,,,,,,,,,,CNS tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oncovin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,800-237-1225,CLOSED_TO_ACCRUAL,9/7/18,,200 Hawkins Drive,null,Iowa City,United States,null,Holden Comprehensive Cancer Center,null,University of Iowa / Holden Comprehensive Cancer Center,ORGANIZATIONAL,800-237-1225,52242,IA,ACTIVE,12/19/14,null,FALSE,41.6596,-91.5469,,,,,,,,,,,,,,Central Nervous System Neoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincasar,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,4/12/18,,725 Welch Road,null,Palo Alto,United States,ccto-office@stanford.edu,Stanford Cancer Institute,null,Lucile Packard Children's Hospital Stanford University,ORGANIZATIONAL,650-497-8000,94304,CA,ACTIVE,12/23/12,null,FALSE,37.4059,-122.1462,,,,,,,,,,,,,,Central Nervous System Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincosid,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,401 Smyth Road,null,Ottawa,Canada,null,null,null,Children's Hospital of Eastern Ontario,null,null,K1H 8L1,Ontario,ACTIVE,12/30/08,null,FALSE,,,,,,,,,,,,,,,,Neoplasm of CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vincrex,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,research@stvincent.org,Site Public Contact,317-338-2194,CLOSED_TO_ACCRUAL,9/7/18,,2001 West 86th Street,null,Indianapolis,United States,research@stvincent.org,null,null,Saint Vincent Hospital and Health Care Center,null,317-338-2194,46260,IN,ACTIVE,11/23/15,null,FALSE,39.8971,-86.18,,,,,,,,,,,,,,Neoplasm of Central Nervous System,,,,,,,,,,,,,,,,,,,,,,Cisplatin,Drug,C376,"An inorganic platinum agent (cis-diamminedichloroplatinum) with antineoplastic activity.  Cisplatin forms highly reactive, charged, platinum complexes which bind to nucleophilic groups such as GC-rich sites in DNA, inducing intrastrand and interstrand DNA cross-links, as well as DNA-protein cross-links. These cross-links result in apoptosis and cell growth inhibition. Check for active clinical trials or closed clinical trials using this agent. (NCI Thesaurus)Health professional",C1450,C798,,TRIAL,,Abiplatin,Agent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,4800 Sand Point Way Northeast,null,Seattle,United States,null,Fred Hutchinson / University of Washington Cancer Consortium,null,Seattle Children's Hospital,ORGANIZATIONAL,206-987-2000,98105,WA,ACTIVE,5/5/15,null,FALSE,47.6619,-122.2964,,,,,,,,,,,,,,Neoplasm of the Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blastolem,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,One Children's Plaza,null,Dayton,United States,null,null,null,Dayton Children's Hospital,null,800-228-4055,45404,OH,ACTIVE,4/25/20,null,FALSE,39.7907,-84.1582,,,,,,,,,,,,,,Tumor of CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Briplatin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stephanie.couch@stjoeshealth.org,Site Public Contact,734-712-3671,CLOSED_TO_ACCRUAL,12/28/17,,2545 Schoenersville Road,null,Bethlehem,United States,stephanie.couch@stjoeshealth.org,null,null,Lehigh Valley Hospital - Muhlenberg,null,484-884-2201,18017,PA,ACTIVE,6/23/18,null,FALSE,40.6607,-75.3902,,,,,,,,,,,,,,Tumor of Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cisplatyl,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIO_Web@cancercare.mb.ca,Site Public Contact,866-561-1026,CLOSED_TO_ACCRUAL,9/7/18,,675 McDermot Avenue,null,Winnipeg,Canada,ctu_web@cancercare.mb.ca,null,null,CancerCare Manitoba,null,null,R3E 0V9,Manitoba,ACTIVE,12/30/08,null,FALSE,,,,,,,,,,,,,,,,Tumor of the CNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citoplatino,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,282 Washington Street,null,Hartford,United States,null,null,null,Connecticut Children's Medical Center,null,860-545-9981,6106,CT,ACTIVE,7/24/15,null,FALSE,41.7484,-72.6959,,,,,,,,,,,,,,Tumor of the Central Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citosin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,111 Michigan Avenue Northwest,null,Washington,United States,null,null,null,Children's National Medical Center,null,202-884-2549,20010,DC,ACTIVE,12/30/08,null,FALSE,38.9322,-77.028,,,,,,,,,,,,,,central nervous system tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lederplatin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LByatt@nmcca.org,Site Public Contact,505-925-0366,CLOSED_TO_ACCRUAL,9/7/18,,1201 Camino De Salud Northeast,null,Albuquerque,United States,LByatt@nmcca.org,University of New Mexico Cancer Research & Treatment Center,null,University of New Mexico Cancer Center,ORGANIZATIONAL,505-925-0366,87102,NM,ACTIVE,11/30/15,null,FALSE,35.0815,-106.6469,,TREE,YES,C3268,Nervous System Neoplasm,Nervous System Tumor,,,,,maintype,,,Neoplasm of Nervous System,C3263,C26835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metaplatin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,973-926-7230,CLOSED_TO_ACCRUAL,9/7/18,,201 Lyons Avenue,null,Newark,United States,null,Rutgers Cancer Institute of New Jersey,null,Newark Beth Israel Medical Center,ORGANIZATIONAL,973-926-3136,7112,NJ,ACTIVE,12/31/08,null,FALSE,40.7108,-74.2114,,,,,,,,,,,,,,Neoplasm of the Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neoplatin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,877-680-0008,CLOSED_TO_ACCRUAL,10/25/13,,2776 Cleveland Avenue,null,Fort Myers,United States,null,null,null,Lee Memorial Health System,null,877-680-0008,33901,FL,ACTIVE,12/30/08,null,FALSE,26.6175,-81.8713,,,,,,,,,,,,,,Nervous System Neoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placis,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,333 North Santa Rosa Street,null,San Antonio,United States,null,null,null,Children's Hospital of San Antonio,null,210-704-2011,78207,TX,ACTIVE,1/22/15,null,FALSE,29.4282,-98.5276,,,,,,,,,,,,,,Nervous System Neoplasms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastistil,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,900 West Faris Road,null,Greenville,United States,kim.williams3@prismahealth.org,null,null,BI-LO Charities Children's Cancer Center,null,864-455-8898,29605,SC,ACTIVE,10/3/12,null,FALSE,34.7768,-82.3803,,,,,,,,,,,,,,Nervous System Tumour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platamine,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,helpdesk@childrensoncologygroup.org,Site Public Contact,null,CLOSED_TO_ACCRUAL,9/7/18,,9981 South HealthPark Drive,null,Fort Myers,United States,molly.arnstrom@leehealth.org,null,null,Golisano Children's Hospital of Southwest Florida,null,239-343-5333,33908,FL,ACTIVE,1/28/14,null,FALSE,26.4973,-81.9071,,,,,,,,,,,,,,Tumor of Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platiblastin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bernicl@sutterhealth.org,Site Public Contact,415-209-2686,CLOSED_TO_ACCRUAL,9/7/18,,2800 L Street,null,Sacramento,United States,bernicl@sutterhealth.org,null,null,Sutter Medical Center Sacramento,null,916-454-6595,95816,CA,ACTIVE,6/22/17,null,FALSE,38.5712,-121.4671,,,,,,,,,,,,,,Tumor of the Nervous System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platiblastin-S,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dperry@nemours.org,Site Public Contact,302-651-6884,CLOSED_TO_ACCRUAL,9/7/18,,1600 Rockland Road,null,Wilmington,United States,dperry@nemours.org,null,null,Alfred I duPont Hospital for Children,null,302-651-5755,19803,DE,ACTIVE,7/21/10,null,FALSE,39.7973,-75.5445,,TREE,NO,C26835,Nervous System Disorder,Nervous System Disorder,,,,,subtype,,,Disorder of Nervous System,C27551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinex,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,Site Public Contact,877-442-3324,CLOSED_TO_ACCRUAL,9/7/18,,450 Brookline Avenue,null,Boston,United States,null,Dana-Farber / Harvard Cancer Center,null,Dana-Farber Cancer Institute,ORGANIZATIONAL,617-632-3000,2215,MA,ACTIVE,6/16/16,null,FALSE,42.3469,-71.1025,,,,,,,,,,,,,,Neurologic Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinol,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neurological Disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinol- AQ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unspecified Nervous System Problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinol-AQ VHA Plus,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TREE,NO,C3222,Medulloblastoma,Medulloblastoma,,,,,grade,subtype,,"CNS, medulloblastoma",C6990,C3569,C170814,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platiran,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MEDULLOBLASTOMA, MALIGNANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platistin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medulloblastomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platosin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medulloblastoma,,,,,,,,,,,,,,,,,,,,,,Cyclophosphamide,Drug,C405,"A synthetic alkylating agent chemically related to the nitrogen mustards with antineoplastic and immunosuppressive activities.  In the liver, cyclophosphamide is converted to the active metabolites aldophosphamide and phosphoramide mustard, which bind to DNA, thereby inhibiting DNA replication and initiating cell death. Check for active clinical trials or closed clinical trials using this agent. (NCI Thesaurus)Health professional",C574,C697,,TRIAL,,CYCLO-cell,Agent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TREE,NO,C170814,Primary Brain Neoplasm,Primary Brain Neoplasm,,,,,subtype,,,,C102871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carloxan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TREE,NO,C3568,Malignant Brain Neoplasm,Malignant Brain Tumor,,,,,subtype,,,Brain Cancer,C2907,C5114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cicloxal,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brain Neoplasms, Malignant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycloblastin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer of Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycloblastine,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer of the Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclostin,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Brain Neoplasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclostine,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Neoplasm of Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cytophosphan,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Neoplasm of the Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fosfaseron,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Tumor of Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genoxal,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Tumor of the Brain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genuxal,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TREE,NO,C3569,Malignant Cerebellar Neoplasm,Malignant Cerebellar Neoplasm,,,,,subtype,,,Cancer of Cerebellum,C2935,C4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ledoxina,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cancer of the Cerebellum,,,,,,,,,,,,,,,,,,,,,,Platinum Compound,Drug,C1450,,C1590,C2163,C798,TREE,,Platinum Agents,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerebellar Cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platinum-Based Chemotherapy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cerebellar Neoplasm, Malignant",,,,,,,,,,,,,,,,,,,,,,Antineoplastic Alkylating Agent,Drug,C1590,,C274,,,TREE,,Chemotherapy Alkylating Agents,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cerebellar Tumor, Malignant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chemotherapy Alkylators,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Cerebellar Neoplasms,,,,,,,,,,,,,,,,,,,,,,Antineoplastic Agent,Drug,C274,,C1909,,,TREE,,Anti-Cancer Agents,Agent Category
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malignant Cerebellar Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti-Tumor Agents,
